Site,County,Location,Site type,Element,Age,Sex,Lab code,14C BP,±,  95% cal BC,cal BC,median,d13C,d15N,C:N,,,,,
Ferriter's Cove,Kerry,coastal,shellmidden,femur,adult,I,OxA-4918,5545,65,4260,3934,4087,-13.7,15.2,N/A,,,,,
Glennamong,Mayo,inland,cave,"petrous, L",adult,M,UBA-38829,4588,40,3507,3106,3357,-21.6,11.3,3.2,,,,,
Glennamong,Mayo,inland,cave,"petrous, R",adult,M,UBA-37807,4488,62,3364,2940,3193,-21.2,10.6,3.2,,,,,
Killuragh,Limerick,inland,cave,metatarsal,adult,I,GrA-2434,8030,60,7133,6700,6940,-20.9,N/A,N/A,,,,,
Killuragh,Limerick,inland,cave,"vertebra, C2",adult,I,GrA-27215,7955,45,7039,6697,6879,-21.1,11.1,N/A,,,,,
Killuragh,Limerick,inland,cave,metatarsal,adult,I,GrA-2433,7880,60,7029,6605,6757,-20.0,N/A,N/A,,,,,
Killuragh,Limerick,inland,cave,tooth,N/A,M,UBA-40235,5844,35,4793,4608,4714,-20.9,10.3,3.1,,,,,
Killuragh,Limerick,inland,cave,"tooth, max molar",adult,I,OxA-6752,5725,55,4704,4457,4574,-21.3,N/A,N/A,,,,,
Killuragh,Limerick,inland,cave,vertebra,adult,I,GrA-27180,5700,40,4678,4455,4535,-21.5,9.5,N/A,,,,,
Killuragh,Limerick,inland,cave,mandible,adult,I,OxA-6749,5455,50,4446,4174,4301,-21.9,N/A,N/A,,,,,
Killuragh,Limerick,inland,cave,cranial frag,adult,I,OxA-25559,4947,31,3783,3656,3721,-21.0,9.3,N/A,,,,,
Killuragh,Limerick,inland,cave,vertebra C2,adult,I,GrA-27182,4880,40,3765,3538,3670,-21.5,9.3,N/A,,,,,
Killuragh,Limerick,inland,cave,"radius, L",adult,I,OxA-25557,4870,32,3708,3542,3659,-21.2,8.9,N/A,,,,,
Killuragh,Limerick,inland,cave,metatarsal I,adult,I,GrA-2510,4670,50,3631,3357,3547,-22.4,N/A,N/A,,,,,
Killuragh,Limerick,inland,cave,"mandible, L",adult,I,OxA-6748,3775,45,2344,2036,2199,-21.1,N/A,N/A,,,,,
